cell_id, m_id,x r,y r,z r,x r+,y r+,z r+,x NL,y NL,z NL,label,t,dx,dy,dz,speed
3219977,3242370,1743.9,1376.6,1899.7,1811.4,1403.6,1915.1,1814.4,1427.5,1876.1,-1,184,0.96502,2.8566,-2.98373,4.24194
3219955,3242359,1722.1,1359.3,1894.3,1790.4,1386.6,1906.7,1792.0,1410.4,1866.6,-1,184,0.93525,3.07212,-3.3205,4.61935
3219976,3242369,1732.9,1377.8,1886.9,1801.8,1405.3,1901.3,1804.4,1429.6,1862.2,-1,184,1.0794,2.92955,-2.69638,4.12527
3219958,3242367,1734.6,1359.6,1892.5,1803.0,1387.0,1906.3,1805.5,1410.7,1865.4,-1,184,0.8398,2.83108,-3.34376,4.46106
3220646,3243008,1780.2,1295.5,1888.4,1849.0,1323.0,1904.3,1853.4,1345.1,1859.7,-1,184,0.85327,2.196,-3.77037,4.44591
3219943,3242349,1788.4,1290.7,1849.3,1861.2,1319.9,1866.1,1866.2,1340.5,1824.2,-1,184,0.8127,1.84845,-4.48237,4.91619
3219948,3242353,1795.1,1263.2,1928.8,1859.6,1289.1,1944.7,1865.2,1310.9,1899.0,-1,184,0.64365,1.82693,-3.83275,4.29441
3220532,3242897,1792.5,1219.7,1856.7,1864.8,1248.6,1871.0,1869.6,1265.3,1829.1,-1,184,0.8259,1.78757,-4.33823,4.76422
3219945,3242351,1789.9,1269.1,1881.2,1859.4,1296.9,1897.1,1865.0,1318.2,1852.7,-1,184,0.81503,1.68182,-4.42551,4.80395
3219347,3241758,1726.8,1211.4,1900.1,1794.8,1238.5,1906.8,1796.2,1252.7,1868.2,-1,184,0.24527,2.09102,-4.21324,4.70998
3219346,3241757,1717.0,1203.5,1891.2,1786.0,1231.0,1896.6,1786.8,1244.3,1858.9,-1,184,0.22696,2.0901,-4.19374,4.69122
3220043,3242418,1757.1,1151.9,1872.6,1828.0,1180.2,1880.2,1830.3,1191.4,1843.2,-1,184,1.82641,0.99328,-5.52713,5.90521
3219342,3241755,1705.0,1211.5,1899.5,1773.3,1238.7,1903.9,1773.6,1251.8,1867.7,-1,184,0.63417,2.27832,-4.60268,5.1747
3219375,3241791,1723.1,1176.1,1864.1,1795.1,1204.8,1869.2,1796.2,1217.0,1829.5,-1,184,0.67215,2.04769,-5.05823,5.49823
3219373,3241789,1731.4,1190.3,1858.4,1803.8,1219.2,1865.0,1805.9,1233.6,1821.8,-1,184,0.73633,2.02922,-4.82494,5.28583
3219345,3241756,1703.9,1193.7,1877.0,1774.6,1221.9,1880.8,1774.3,1235.1,1842.7,-1,184,0.7169,2.07771,-4.73141,5.217
3220072,3241774,1698.0,1195.4,1836.2,1773.0,1225.3,1839.6,1772.9,1238.6,1798.7,-1,184,0.59552,1.76461,-5.01623,5.3508
3219369,3241785,1721.1,1191.0,1855.6,1793.9,1220.0,1861.2,1795.3,1233.7,1818.3,-1,184,0.87526,1.82318,-4.93204,5.33058
3220073,3241783,1655.7,1192.6,1852.1,1729.3,1221.9,1850.8,1727.2,1233.0,1816.9,-1,184,0.57669,1.41885,-4.68119,4.92537
3219361,3241770,1696.1,1200.6,1860.4,1768.5,1229.4,1863.7,1768.1,1243.0,1822.9,-1,184,0.32304,2.41445,-4.83322,5.41239
3219359,3241769,1690.4,1204.8,1858.0,1763.1,1233.7,1860.9,1762.2,1247.2,1821.1,-1,184,0.47195,2.33241,-4.63821,5.21305
3219356,3241081,1691.7,1217.7,1877.3,1762.3,1245.9,1880.7,1761.1,1260.3,1842.6,-1,184,0.5264,2.73348,-4.26409,5.0923
